ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
4,27:27:00,A2-2,L4-1,Robot,How many pickles would be left on the pizza if Pete ate two of them?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27:33:00,A2-2,L4-1,Child,"1, 2, 3, 4, 5",,,,,,,,,1,,1,,5,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27:37:00,A2-2,L4-1,Parent,5 would be left if Pete ate 2 of them?,,1,1,,,,,,,,,,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27:39:00,A2-2,L4-1,Child,Yeah,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27:40:00,A2-2,L4-1,Parent,You got it.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
4,27:57:00,A2-2,L3-3,Robot,Which one of Pete's friends is 3rd on the bus?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,28:01:00,A2-2,L3-3,Child,Pete.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,28:03:00,A2-2,L3-3,Parent,Which one of his friends is 3rd on the bus? Those two?,,1,,,,,,,,,,,3,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
4,28:09:00,A2-2,L3-3,Child,Yeah.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,28:10:00,A2-2,L3-3,Parent,"Well, to find that out, you've got to count 1, 2, 3 and I think it's not counting Pete. It's just counting his friends. So which one is 3rd?",,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,
4,30:34:00,A2-2,L3-4,Robot,Are there more friends in the bouncy house or outside of the bouncy house?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30:42:00,A2-2,L3-4,Child,3 and 3.,,,,,,,,,1,1,,,3,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30:42:00,A2-2,L3-4,Parent,"3 and 3, but I think they're talking about the friends so we're not counting Pete. 2 and 3. So which is more? 3 in the bounce house. You got it.",,1,,,,,,,,,,,3,1,,,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
4,30:42:00,A2-2,,Parent,"Oops, sorry. Pete and the gang, piled up pepperoni, pretzels, pistachios, pickles, popcorn and papaya on top. The pizza was so high they had to stop. Ding. The pizza was done. Trying something new might be fun. They all built up the courage to take the first bite.We'll get to that and then we'll go like this.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,33:25:00,A2-3,L1-1,Robot,Can you count the number of bees flying by the flowers?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,33:30:00,A2-3,L1-1,Child,"1, 2",,,,,,,,,1,,1,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,33:31:00,A2-3,L1-1,Parent,"Okay, push push the thing and it'll tell us. A little harder.",,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4,33:40:00,A2-3,L1-1,Robot,I see 2 bees as well. Great job.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,33:47:00,A2-3,,Parent,"What should you do when you get to her door? Put on on a disguise and say Guess who? Knock with a secret knock only she knows tap tap tap it tap. If you like cats, meow.. If you like dogs, bark. If you like goldfish, hmm. When she opens the door shout grandma your babysitter is here.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25:03:00,A2-2,L2-3,Robot,Can you count the total number of pretzels on the pizza and table?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25:07:00,A2-2,L2-3,Child,"1, 2, 3, 4, 5",,,,,,,,,1,,,1,5,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25:10:00,A2-2,L2-3,Parent,"She said and the table, pizza and the table.",,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,